City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi,clean_City,clean_Hotel_Name
Pyramisa Island Hotel Aswan (Hotel) (Egypt) Deals,Pyramisa Island Hotel Aswan,Scored 9,9.2,8.6,8.9,8.9,8.7,9.4,8.1,Aswan,Pyramisa Island Hotel Aswan
"Artika Wadi Kiki Hotel (Bed and Breakfast), Aswan (Egypt) Deals",Artika Wadi Kiki Hotel,Scored 9.2,9.6,8.9,9.2,9.1,9.0,8.9,5.2,Aswan,Artika Wadi Kiki Hotel
"Hapi Hotel (Hotel), Aswan (Egypt) Deals",Hapi Hotel,Scored 7.1,8.5,6.9,7.4,7.4,6.9,8.2,6.9,Aswan,Hapi Hotel
"NUB INN (Bed and Breakfast), Aswan (Egypt) Deals",NUB INN,Scored 8.7,9.5,8.7,9.1,9.1,8.4,8.7,5.6,Aswan,NUB INN
"NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ASWAN Every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate,Luxor,NILE CRUISE ASWAN Every Wednesday ASWAN nights every Saturday LUXOR nights
"Kana Kato (Guesthouse), Aswan (Egypt) Deals",Kana Kato,Scored 9.1,9.7,8.7,9.1,9.1,9.2,9.3,8.2,Aswan,Kana Kato
Citymax Hotel Aswan (Hotel) (Egypt) Deals,Citymax Hotel Aswan,Scored 7.7,8.5,7.6,8.1,8.2,7.5,9.0,7.9,Aswan,Citymax Hotel Aswan
"NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights (Hotel), Aswan (Egypt) Deals",NILE CRUISE ROYAL QUEEN I every Wednesday from ASWAN 3 nights & every Saturday from LUXOR 4 nights,Scored 9.7,10,10,10,10,10,10,No Rate,Luxor,NILE CRUISE ROYAL QUEEN every Wednesday ASWAN nights every Saturday LUXOR nights
"BAYT ZAINA - Nubian hospitality house (Guesthouse), Aswan (Egypt) Deals",BAYT ZAINA - Nubian hospitality house,Scored 8.9,9.5,8.2,8.7,8.7,9.1,9.3,8.4,Aswan,BAYT ZAINA Nubian hospitality house
"Basmatic Nubian Guest House (Guesthouse), Aswan (Egypt) Deals",Basmatic Nubian Guest House,Scored 8.9,9.6,8.5,9.0,8.9,9.0,9.0,9.4,Aswan,Basmatic Nubian Guest House
"Benben by Dhara Hotels - Adults Only (Hotel), Aswan (Egypt) Deals",Benben by Dhara Hotels - Adults Only,Scored 9.3,9.6,9.3,9.5,9.6,8.9,9.3,8.0,Aswan,Benben Dhara Hotels Adults
"ASWAN NILE PALACE (swimming pool-rooftop-Nile view) (Guesthouse), Aswan (Egypt) Deals",ASWAN NILE PALACE (swimming pool-rooftop-Nile view),Scored 8.6,9.4,8.7,8.9,8.8,9.0,7.4,8.6,Aswan,ASWAN NILE PALACE swimming pool rooftop Nile view
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0,Aswan,Meshra Katto
"Meshra Katto (Guesthouse), Aswan (Egypt) Deals",Meshra Katto,Scored 9.2,9.8,8.6,9.0,8.9,9.3,9.4,10.0,Aswan,Meshra Katto
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1,Aswan,Basma Hotel Aswan
Basma Hotel Aswan (Hotel) (Egypt) Deals,Basma Hotel Aswan,Scored 8,8.8,7.9,8.3,8.3,7.8,8.5,8.1,Aswan,Basma Hotel Aswan
Philae Hotel Aswan (Hotel) (Egypt) Deals,Philae Hotel Aswan,Scored 7.3,8.5,7.0,7.6,7.7,7.3,9.0,6.3,Aswan,Philae Hotel Aswan
"Hapi V (Hotel), Aswan (Egypt) Deals",Hapi V,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Aswan,Hapi V
"Ekadolli Nubian Guesthouse-by kerma hospitality (Guesthouse), Aswan (Egypt) Deals",Ekadolli Nubian Guesthouse-by kerma hospitality,Scored 8.5,9.3,8.3,8.8,8.7,9.1,7.5,6.9,Aswan,Ekadolli Nubian Guesthouse kerma hospitality
"Kato Dool Wellness Resort (Hotel), Aswan (Egypt) Deals",Kato Dool Wellness Resort,Scored 8.6,9.2,8.6,9.1,9.0,8.4,8.1,7.0,Aswan,Kato Dool Wellness Resort
Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights (Cruise) (Egypt) Deals,Steigenberger Omar El Khayam Nile Cruise - Every Monday from Aswan for 07 & 04 Nights - Every Friday From Abu Simbel for 03 Nights,Scored 9,10.0,9.2,9.3,9.4,8.7,9.9,No Rate,Aswan,Steigenberger Omar El Khayam Nile Cruise Every Monday Aswan Nights Every Friday Abu Simbel Nights
"Nuba Dool (Bed and Breakfast), Aswan (Egypt) Deals",Nuba Dool,Scored 9,9.4,8.7,9.0,9.1,9.2,9.3,9.4,Aswan,Nuba Dool
"Nubian palace - by kerma hospitality (Bed and Breakfast), Aswan (Egypt) Deals",Nubian palace - by kerma hospitality,Scored 9.2,9.8,8.8,9.1,9.0,9.2,8.9,8.0,Aswan,Nubian palace kerma hospitality
"Maghrabi's Guest house (Guesthouse), Aswan (Egypt) Deals",Maghrabi's Guest house,Scored 9.4,9.7,9.2,9.5,9.5,9.4,9.0,9.3,Aswan,Maghrabi Guest house
